Integration,Capability,ProductionUse,KeyPrerequisites,KeyConstraints,ArchitectureDecision,Source
Google Ads API,Campaign and account management reporting and bidding,Yes,Developer integration plus advertiser access,Use for large or complex programmatic account management; requires code and infra,Core v1 connector,https://developers.google.com/google-ads/api/docs/get-started/introduction
Google Analytics Data API,Custom reports batch reports pivots realtime,Yes,GA4 property access and auth,Reporting semantics and freshness must be handled carefully,Core analytics connector,https://developers.google.com/analytics/devguides/reporting/data/v1
Google Search Console API,Search/site data for verified properties,Yes,Verified property ownership and auth,Must guide users through verification rather than faking data availability,Core SEO connector,https://developers.google.com/webmaster-tools/v1/quickstart/quickstart-python
Google Merchant API,Merchant Center and product/business operations,Yes,Merchant Center and cloud setup,Migrating from legacy Content API; design should be migration-ready,Core commerce marketing connector,https://support.google.com/merchants/answer/16494522?hl=en
Merchant API compatibility guide,Migration from Content API to Merchant API,Yes,Refactor resource naming and async patterns,customBatch not supported; new sub-APIs and parallel calls matter,Build Merchant integration on modern API structure,https://developers.google.com/merchant/api/guides/compatibility/overview
Meta Marketing API,Ads management insights business assets,Yes with review and verification,App roles permissions app review business verification and access tier,Default access is for development not true production SaaS scale,Core v1 paid-media connector with explicit verification dependency,https://developers.facebook.com/documentation/ads-commerce/marketing-api/get-started/authorization
Meta access verification,Third-party business use and sensitive permissions,Conditional but important,Business verification and possibly Tech Provider verification,Production SaaS must budget for review lead time and policy compliance,Track as external dependency for production scale,https://developers.facebook.com/documentation/development/release/access-verification
WhatsApp Cloud API,Template and session messaging media webhooks,Feature-flagged later,Business account setup opt-in template approvals,Opt-in mandatory and template/policy windows govern sends,Architecture-ready but gated at launch,https://developers.facebook.com/docs/whatsapp/cloud-api
LinkedIn Marketing APIs,Ads and marketing workflow integrations,Partial/approval-dependent,Developer approval and product constraints,Assume guided setup and limited first release scope,Phase 2 or gated enterprise connector,https://developer.linkedin.com/product-catalog/marketing
YouTube Data API,Video upload and metadata management,Yes,OAuth enabled API quota,Quota/auth must be governed; suitable for approved uploads,Phase 1.5 or 2 connector,https://developers.google.com/youtube/v3/guides/uploading_a_video
Shopify Admin API,Commerce admin integration,Yes,OAuth/custom app auth and scopes,REST Admin API is legacy for new work; prefer GraphQL-first going forward,Use Shopify but design new work GraphQL-first,https://shopify.dev/docs/api/admin-rest
WordPress REST API,Content CRUD and custom admin integration,Yes,Site auth and sometimes plugin setup,Capabilities depend on site auth and plugin availability,Core CMS connector,https://developer.wordpress.org/rest-api/
WooCommerce REST API,Products orders customers coupons refunds CRUD,Yes,Consumer key/secret plus HTTPS/basic auth or OAuth,Merchant auth/plugin state varies; permissions tied to WP user,Core commerce connector for pilot,https://woocommerce.github.io/woocommerce-rest-api-docs/
Mailchimp Marketing API,Audiences campaigns events webhooks e-commerce sync,Yes,Plan-level account access and API key or OAuth,Capabilities depend partly on account plan and integration mode,Email/lifecycle connector,https://mailchimp.com/developer/marketing/docs/fundamentals/
Klaviyo APIs,B2C CRM and lifecycle data integration,Yes,Developer account and credentials,Use for lifecycle integrations not as sole source of truth,Phase 2 lifecycle connector,https://developers.klaviyo.com/en/docs/get_started
Razorpay,Payments collections and disbursements platform,Yes,Merchant onboarding and integration,Do not treat client balance feature as unrestricted walleting,Core India payments candidate,https://razorpay.com/docs/
Cashfree,Payments payouts and identity products,Yes,Merchant onboarding and integration,Useful for collections/payouts but still subject to product/legal design,Core India payments candidate,https://www.cashfree.com/docs/
Leegality,India eSign and eStamp workflow,Yes,Commercial onboarding and implementation,Use for India-compliant legal ops; pricing publicly exposed,Preferred India signing candidate,https://www.leegality.com/pricing
DocuSign,Global eSignature workflows,Yes,Commercial onboarding and agreement design,Use for global enterprise workflows rather than India-native defaults,Optional global signing layer,https://ecom.docusign.com/plans-and-pricing/esignature
