Area,Requirement,ImplicationForPlatform,Decision,Source
DPDP Act 2023,Digital personal data processing rights and obligations,Need notices consent records rights handling grievance and security,Build privacy operations into core architecture,https://www.meity.gov.in/static/uploads/2024/06/2bf1f0e9f04e6fb4f8fef35e82c42aa5.pdf
Draft DPDP Rules 2025,Operational detail for notices consent rights security and children data,Need clearer operational privacy workflows and public contact points,Design modular compliance workflows that can be tightened as rules finalize,https://www.meity.gov.in/static/uploads/2025/02/f8a8e97a91091543fe19139cac7514a1.pdf
CCA eSign,Legally valid electronic signature via authenticated eSign flow,Need audited signing evidence rather than image signatures,Integrate compliant eSign provider for India,https://cca.gov.in/eSign.html
RBI PPI framework,Stored-value instruments are regulated,Do not casually market a client balance as a wallet,Phrase as Client Media Balance / Advertising Deposit until legal structure approved,https://www.rbi.org.in/commonperson/english/scripts/FAQs.aspx?Id=2812
TRAI commercial communication/DLT,Commercial SMS requires sender/header/template/consent governance,SMS module must be disabled until DLT-ready,Build architecture now but gate commercial activation,http://trai.gov.in/advice-to-senders
Consumer Protection Act 2019,Fairness consumer rights misleading practices,Claims and e-commerce flows need governance,Integrate compliance checks for claims/offers,https://www.indiacode.nic.in/bitstream/123456789/16939/1/a2019-35.pdf
Consumer Protection (E-Commerce) Rules 2020,E-commerce obligations and transparency,Marketplace and commerce flows need grievance and seller transparency,Design marketplace and commerce modules with disclosure/grievance support,https://consumeraffairs.gov.in/pages/consumer-protection-acts
GDPR,Privacy by design and by default,Need minimization security and purpose limitation by default,Use privacy-by-design as global baseline,https://gdpr.eu/what-is-gdpr/
UK GDPR,UK governance expectations for controllers/processors,Need UK-ready privacy governance if serving UK users,Architect globally extensible privacy controls,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/
CCPA/CPRA,California consumer privacy rights,Need know/delete/correct/opt-out style rights handling,Add region-aware privacy requests,https://oag.ca.gov/privacy/ccpa
CAN-SPAM,Email marketing compliance,Need unsubscribe postal address honest headers and subject lines,Enforce marketing email compliance controls,https://www.ftc.gov/business-guidance/resources/can-spam-act-compliance-guide-business
COPPA,Child-directed/under-13 constraints,Need to avoid or heavily gate child-directed data collection,Default platform posture should avoid child-directed marketing use cases,https://www.ftc.gov/legal-library/browse/rules/childrens-online-privacy-protection-rule-coppa
WhatsApp opt-in/policy,Opt-in required before template messaging,WhatsApp automation needs lawful opt-in and template governance,Feature-flag until approved,https://developers.facebook.com/docs/whatsapp/cloud-api
